critic,date,fresh,imdb,original_score,publication,quote,review_date,rt_id,title
Desson Thomson,2000-01-01,fresh,101452,,Washington Post,Funnier and livelier than the original.,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/billtedsbogusjourneypghowe_a0b30f.htm,11035,Bill & Ted's Bogus Journey
Hal Hinson,2000-01-01,fresh,101452,,Washington Post,A masterpiece of stupid.,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/billtedsbogusjourneypghinson_a0a6ca.htm,11035,Bill & Ted's Bogus Journey
Bill Stamets,2007-05-03,rotten,245803,,Chicago Reader,"The fight scenes are routine, the humor juvenile, and the Toronto locales rendered drab through muddy cinematography.",http://onfilm.chicagoreader.com/movies/capsules/23580_BULLETPROOF_MONK,11258,Bulletproof Monk
,2006-06-24,fresh,245803,,Time Out,"Chow was never a martial arts star back home, but he's a good enough actor -- and an engaging enough personality -- to pass for one here.",http://www.timeout.com/film/reviews/68595/bulletproof_monk.html,11258,Bulletproof Monk
David Edelstein,2003-04-22,rotten,245803,,Slate,"They made a ton of junky movies in Hong Kong, but those were dazzlingly fluid and high-flying junky movies. This American retread has the same sort of hack plot but none of the bravura.",http://www.slate.com/id/2081714/,11258,Bulletproof Monk
Richard Roeper,2003-04-21,rotten,245803,,Ebert & Roeper,"[T]he thing about the martial arts sequences -- you've got the great Chow Yun-Fat, but this thing is directed MTV style: cut here, cut there, close-up. So we can't really tell if he's doing stunts or if it's all tricks of camerawork.",http://apps.tvplex.go.com/ebertandthemovies/audioplayer.cgi?file=030421_bulletproof_monk,11258,Bulletproof Monk
Mark Jenkins,2003-04-18,rotten,245803,,Washington Post,One of those motley movies that borrows from just about everywhere.,,11258,Bulletproof Monk
Stephen Whitty,2003-04-18,rotten,245803,,Newark Star-Ledger,Everything here is borrowed from other movies ...,http://www.nj.com/movies/ledger/index.ssf?/base/entertainment-0/1050579480193090.xml,11258,Bulletproof Monk
Colin Covert,2003-04-18,rotten,245803,2/4,Minneapolis Star Tribune,Bulletproof Monk shoots blanks.,http://www.startribune.com/stories/1553/3830533.html,11258,Bulletproof Monk
Bill Muller,2003-04-18,rotten,245803,1/5,Arizona Republic,"Model-turned-actress Jaime King changed her first name (from James) to star in Bulletproof Monk. Given her performance, she might have to enter the witness-protection program.",,11258,Bulletproof Monk
Hazel-Dawn Dumpert,2003-04-17,rotten,245803,,L.A. Weekly,"It's a testament to Chow's star power that, even with an accent more than casually reminiscent of Elmer Fudd's, he comes off charming, handsome and cool in a movie as ridiculous as Bulletproof Monk.",http://www.laweekly.com/film/film_results.php?showid=2352,11258,Bulletproof Monk
Robert Denerstein,2003-04-16,rotten,245803,C-,Denver Rocky Mountain News,"The movie mixes dull dialogue, martial arts wire work and half-baked approximations of Eastern philosophy, some shallow enough to make the average fortune cookie seem profound.",,11258,Bulletproof Monk
Charles Taylor,2003-04-16,fresh,245803,,Salon.com,[A] lightweight but delightful martial-arts romp.,,11258,Bulletproof Monk
Stephen Hunter,2003-04-16,rotten,245803,,Washington Post,A movie chockablock with too many elements.,http://www.washingtonpost.com/wp-dyn/content/article/2003/04/16/AR2005033116285.html,11258,Bulletproof Monk
Mike Clark,2003-04-16,rotten,245803,2/4,USA Today,"This is not a movie that sparks questions about the meaning of life. Well, maybe one: Dude, where's my Zen?",http://www.usatoday.com/life/movies/reviews/2003-04-15-bulletproof-monk_x.htm,11258,Bulletproof Monk
Peter Howell,2003-04-16,rotten,245803,1/5,Toronto Star,"Bulletproof Monk is such an overcooked and odoriferous turkey, the Butterball people ought to sue for defamation of character.",http://www.thestar.com/NASApp/cs/ContentServer?pagename=thestar/Layout/Article_Type1&c=Article&cid=1035780944045&call_pageid=968867495754&col=969483191630,11258,Bulletproof Monk
Ted Fry,2003-04-16,fresh,245803,2.5/4,Seattle Times,Cheesy fun.,,11258,Bulletproof Monk
Mick LaSalle,2003-04-16,fresh,245803,3/4,San Francisco Chronicle,Bulletproof Monk has more going for it than a promising title. It has a life and style that other buddy action movies lack.,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/2003/09/12/DD226939.DTL,11258,Bulletproof Monk
David Hiltbrand,2003-04-16,rotten,245803,2/4,Philadelphia Inquirer,"This isn't really a movie, it's just one chase scene stacked on top of another and stitched together with the thinnest thread of plot.",,11258,Bulletproof Monk
Roger Moore,2003-04-16,rotten,245803,2/5,Orlando Sentinel,"If you like your chop-sockey with a healthy serving of cheese, corn and a few giggles, you won't be disappointed.",,11258,Bulletproof Monk
Lou Lumenick,2003-04-16,rotten,245803,1/4,New York Post,"A moronic knockoff of Jackie Chan's buddy/action comedies, directed without much imagination or aspiration by music-video veteran Paul Hunter.",,11258,Bulletproof Monk
James Berardinelli,2003-04-16,rotten,245803,2/4,ReelViews,"Outside of the moments of kinetic madness that represent the action sequences, this movie is an amalgamation of lame comedy, campy Eastern mysticism, and dumb plotting.",http://www.reelviews.net/movies/b/bulletproof_monk.html,11258,Bulletproof Monk
Stephanie Zacharek,2006-10-07,fresh,430357,,Salon.com,This somber action picture bravely defies expectations and gives us something wholly new.,http://www.salon.com/ent/movies/review/2006/07/28/miami_vice,190816390,Miami Vice
Richard Roeper,2006-08-07,fresh,430357,,Ebert & Roeper,"Mann is the master of nighttime digital photography, and he fills the screen with stunning images and some intricately choreographed shoot-out scenes that I just loved.",http://tvplex.go.com/buenavista/ebertandroeper/mp3/060807-miami_vice.mp3,190816390,Miami Vice
Geoff Pevere,2006-08-05,fresh,430357,3.5/4,Toronto Star,"Miami Vice isn't perfect, but it is perfectly mesmerizing.",http://WWW.TheStar.COM/NASApp/cs/ContentServer?pagename=thestar/Layout/Article_Type1&c=Article&cid=1154599337157&call_pageid=1022183557980&col=1022183560753,190816390,Miami Vice
Andrew Sarris,2006-08-03,fresh,430357,,New York Observer,"I enjoyed Mr. Mann's new Miami Vice from its first ravishing frame to the last, but I can't say that very much of it made sense -- but then, neither do the daily headlines.",http://www.observer.com/node/39213,190816390,Miami Vice
Geoff Andrew,2006-08-03,fresh,430357,,Time Out,It's business as usual for Mann. Truly terrific.,http://www.timeout.com/film/83480.html,190816390,Miami Vice
Bruce Newman,2006-07-28,fresh,430357,2.5/4,San Jose Mercury News,"The movie isn't perfect, but it's good enough, and better than most. It should keep us occupied until the big screen version of The Apprentice comes along.",,190816390,Miami Vice
Mick LaSalle,2006-07-28,rotten,430357,2/4,San Francisco Chronicle,The truest thing to say about Miami Vice is that it's an OK picture with some superb things in it.,http://sfgate.com/cgi-bin/article.cgi?f=/c/a/2006/07/28/DDG2PK62G21.DTL&type=movies,190816390,Miami Vice
Peter Travers,2006-07-28,fresh,430357,3.5/4,Rolling Stone,"If you're looking for a crime story that sizzles with action, sex and the visceral jolt of life on the edge, Miami Vice is the one.",,190816390,Miami Vice
Carrie Rickey,2006-07-28,rotten,430357,2/4,Philadelphia Inquirer,"Miami Vice, the movie, is an atmospheric muddle, as gorgeous and unintelligible as raven-haired stunner Gong Li.",,190816390,Miami Vice
Roger Moore,2006-07-28,fresh,430357,4/5,Orlando Sentinel,It works as well as it ever did. It works because Mann makes it work.,"http://www.orlandosentinel.com/entertainment/movies/orl-db-moviereviews-searchresults,0,3279701,results.formprofile?turbine_cdb_lib__cdb_01_txt=Miami%20Vice&Find+it%21=Submit+Query",190816390,Miami Vice
Lisa Rose,2006-07-28,rotten,430357,2/4,Newark Star-Ledger,"It offers a good amount of crowd-pleasing action, but the story is convoluted and the heroes are scowling mannequins.",http://www.nj.com/movies/ledger/index.ssf?/base/entertainment-0/115407058121410.xml&coll=1,190816390,Miami Vice
Kyle Smith,2006-07-28,fresh,430357,3.5/4,New York Post,"The antidote to M:i:III, Pirates II and every other circus of coagulated stunts is Miami Vice, my favorite Hollywood movie of the summer so far.",,190816390,Miami Vice
Jack Mathews,2006-07-28,fresh,430357,2.5/4,New York Daily News,"Miami Vice is the last of the predicted summer blockbusters, and it delivers a reasonable amount of popcorn excitement.",http://www.nydailynews.com/entertainment/movies/moviereviews/story/438724p-369495c.html,190816390,Miami Vice
Rene Rodriguez,2006-07-28,fresh,430357,3/4,Miami Herald,"This is more of a thinking man's action flick -- a small, intense film made on a giant canvas that finds Mann experimenting with and pushing at the boundaries of mainstream filmmaking.",http://www.miami.com/mld/miamiherald/entertainment/movies/15133008.htm,190816390,Miami Vice
Amy Biancolli,2006-07-28,fresh,430357,2.5/4,Houston Chronicle,"It might be an empty vessel, but it zooms.",http://www.chron.com/disp/story.mpl/ent/movies/reviews/4039735.html,190816390,Miami Vice
Liam Lacey,2006-07-28,fresh,430357,3.5/4,Globe and Mail,"Sensual and scary, the movie is so visually textured you feel as though you're brushing against the screen.",http://www.theglobeandmail.com/servlet/story/RTGAM.20060728.wvice28/BNStory/Entertainment/home,190816390,Miami Vice
Terry Lawson,2006-07-28,rotten,430357,2/4,Detroit Free Press,"Perhaps had they been given a script, a purpose or a mission, Miami Vice the movie might have been something worthy of the talented Mann's attention.",http://www.freep.com/apps/pbcs.dll/article?AID=/20060728/ENT01/607280375/1036,190816390,Miami Vice
Robert Denerstein,2006-07-28,fresh,430357,B,Denver Rocky Mountain News,"Miami Vice exudes the kind of gritty life we expect, so much so that you might argue that neither Crockett nor Tubbs deserves to be called a main character; Mann reserves that role for crime itself.",,190816390,Miami Vice
Lisa Kennedy,2006-07-28,rotten,430357,2.5/4,Denver Post,"The film, like its oddly rumbling sky, promises more than it ever delivers. Granted, it can look cool. But more often, as we wait for the lightning that never arrives, it frustrates.",http://www.denverpost.com/movies/ci_4099546,190816390,Miami Vice
Derek Adams,2006-06-24,rotten,113253,,Time Out,Slicker than crude oil and just as unattractive.,http://www.timeout.com/film/reviews/71640/halloween-the_curse_of_michael_myers.html,12962,Halloween - The Curse of Michael Myers (Halloween 6)
Daniel M. Kimmel,2005-04-29,rotten,113253,,Variety,Run-of-the-mill horror item is notable only for final appearance of the late Donald Pleasance,http://www.variety.com/review/VE1117910137.html?categoryid=31&cs=1,12962,Halloween - The Curse of Michael Myers (Halloween 6)
Stephen Holden,2004-08-30,rotten,113253,1.5/5,New York Times,"Although the series has obviously run out of steam, the ending leaves the door open for Michael's return. Really, it's about time the masks were removed once and for and all.",http://movies.nytimes.com/movie/review?res=990CE5DA103AF933A0575AC0A963958260&partner=Rotten Tomatoes,12962,Halloween - The Curse of Michael Myers (Halloween 6)
Jack Mathews,2001-02-14,rotten,113253,1/5,Los Angeles Times,"'Enough of this Michael Meyers B.S.!,' says a disgruntled Haddonfielder, as news spreads of the returning native son. Dream on.",http://www.calendarlive.com/movies/reviews/cl-movie960406-99.story,12962,Halloween - The Curse of Michael Myers (Halloween 6)
James Berardinelli,2000-01-01,rotten,113253,0/4,ReelViews,"Needless to say, the gore level is high and the scare level low -- although not as low as the intelligence level.",http://www.reelviews.net/php_review_template.php?identifier=708,12962,Halloween - The Curse of Michael Myers (Halloween 6)
Mick LaSalle,2000-01-01,rotten,113253,0/4,San Francisco Chronicle,"This sixth installment, by far the worst in the series, is bland and deadening.",http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1995/10/02/DD40921.DTL,12962,Halloween - The Curse of Michael Myers (Halloween 6)
Richard Harrington,2000-01-01,rotten,113253,,Washington Post,"Unfortunately, while director Joe Chapelle and writer Daniel Farrands took advantage of a clearance sale at the Horror Cliche Emporium, they forgot to stop in at Plots R Us.",http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/halloweencurseofmichaelmyersrharrington_c03028.htm,12962,Halloween - The Curse of Michael Myers (Halloween 6)
Todd McCarthy,2008-07-06,rotten,117991,,Variety,"A handsome, agreeably performed rendition that fails to ignite much laughter or any real emotion.",http://www.variety.com/review/VE1117911117.html?categoryid=31&cs=1,10087,Twelfth Night: Or What You Will
Geoff Andrew,2006-02-09,fresh,117991,,Time Out,"The direction is assured, and the cast is masterly.",http://www.timeout.com/film/reviews/79885/twelfth_night.html,10087,Twelfth Night: Or What You Will
Stephen Holden,2003-05-20,fresh,117991,,New York Times,"A comic meditation on desire, disguise and inherent bisexuality.",http://movies.nytimes.com/movie/review?res=9E02EFDD1030F936A15753C1A960958260&partner=Rotten Tomatoes,10087,Twelfth Night: Or What You Will
Rick Groen,2002-04-12,fresh,117991,3/4,Globe and Mail,"An entertaining movie. No more, no less.",http://www.globeandmail.com/servlet/ArticleNews/movie/MOVIEREVIEWS/19961025/TASHAK,10087,Twelfth Night: Or What You Will
Kevin Thomas,2001-02-14,rotten,117991,,Los Angeles Times,Only fitfully do the actors actually seem to become the characters they are playing.,"http://www.calendarlive.com/movies/reviews/cl-movie961028-76,0,1814139.story",10087,Twelfth Night: Or What You Will
Desson Thomson,2000-01-01,fresh,117991,,Washington Post,"British director Nunn doesn't always take advantage of the play's comic possibilities. But he creates absorbing, original moments -- in the unlikeliest of places.",http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/twelfthnight.htm,10087,Twelfth Night: Or What You Will
